Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Need You Tonight,Kick,,['INXS'],"funk rock, rock, australian rock, new wave, dance rock, new romantic",1988,2,180517,69,0.0713,0.801,0.723,0.154,0.0675,-4.985,0.0689,109.03,0.883,10,0,4
What Happened To Virgil (feat. Gunna),7220,2022-03-11,"['Lil Durk', 'Gunna']","chicago drill, chicago rap, melodic rap, trap, atl hip hop, rap, hip hop, drill",2022,83,181393,73,0.067,0.795,0.526,2e-06,0.134,-9.086,0.204,140.037,0.194,6,0,4
Too Good At Goodbyes,The Thrill Of It All (Special Edition),2017-11-03,['Sam Smith'],"pop, uk pop",2017,77,201000,86,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,0.476,5,1,4
Slam,Bacdafucup,1993-03-30,['Onyx'],"queens hip hop, east coast hip hop, hardcore hip hop",1993,37,218333,62,0.0654,0.876,0.71,0.00312,0.918,-12.908,0.347,98.305,0.724,11,1,4
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),2021-04-09,"['Doja Cat', 'SZA']","pop, dance pop, r&b, rap",2021,6,208866,80,0.235,0.762,0.701,0.000158,0.123,-3.541,0.0286,110.968,0.742,8,1,4
Couldn't Get it Right (Originally Performed by Climax Blues Band) [Karaoke Version],"The Karaoke Channel - Top Rock Hits of 1977, Vol. 3",2015-08-11,['The Karaoke Channel'],karaoke,1977,32,197070,0,0.0157,0.854,0.546,0.541,0.241,-14.119,0.0403,103.057,0.885,9,1,4
Mr. Bojangles - Remastered 2001,Certified Hits (Remastered),2001-01-01,['Nitty Gritty Dirt Band'],"country rock, heartland rock",1971,44,215400,56,0.699,0.444,0.757,0.0,0.329,-6.884,0.0541,154.26,0.554,11,0,3
Gotham City - Remix,The Essential R. Kelly,2014-05-19,['R. Kelly'],,1997,70,285680,31,0.0303,0.725,0.634,0.0,0.296,-5.519,0.0483,135.793,0.452,8,0,4
Help! - Remastered 2009,Help! (Remastered),1965-08-06,['The Beatles'],"rock, british invasion, beatlesque, psychedelic rock, classic rock, merseybeat",1965,7,139560,73,0.188,0.534,0.725,0.0,0.0994,-7.576,0.0332,95.003,0.763,6,0,4
Family Affair,No More Drama,2001-08-28,['Mary J. Blige'],"dance pop, neo soul, urban contemporary, r&b",2002,17,265866,78,0.132,0.911,0.551,4.12e-05,0.0863,-3.75,0.0449,92.887,0.969,8,0,4
I'm Looking Over A Four Leaf Clover (Jazz Samba),Desafinado,1997-01-01,['Coleman Hawkins'],"jazz, jazz saxophone, bebop",1948,33,173160,43,0.761,0.618,0.195,0.0363,0.0744,-16.262,0.142,84.605,0.812,5,1,4
I Can't Wait,I Can't Wait: Collected,2019-03-15,['Nu Shooz'],"post-disco, freestyle",1986,26,218826,61,0.166,0.785,0.844,0.002,0.0681,-4.63,0.0574,103.968,0.94,7,0,4
Stuck In The Middle With You,Stealers Wheel,1972-01-01,['Stealers Wheel'],folk rock,1973,30,208946,79,0.0936,0.82,0.575,0.000135,0.109,-9.144,0.0408,123.765,0.964,7,1,4
Tuesday (feat. Drake),I LOVE MAKONNEN,2014-12-15,"['ILOVEMAKONNEN', 'Drake']","toronto rap, canadian hip hop, trap, atl hip hop, canadian pop, rap, hip hop, lgbtq+ hip hop",2015,82,321987,65,0.218,0.773,0.664,0.000117,0.105,-5.603,0.211,140.161,0.472,0,1,4
Wasting My Time,The Fallout (Limited Edition),,['Default'],"post-grunge, alternative metal, canadian rock",2002,26,269306,61,0.00171,0.449,0.776,0.0,0.0698,-5.594,0.0322,148.11,0.198,2,1,4
Love So Right,Children Of The World,1976-01-01,['Bee Gees'],"soft rock, disco",1977,80,215493,58,0.345,0.575,0.405,5.91e-05,0.645,-13.346,0.0279,80.983,0.558,4,1,4
All Night Long - Single Version,Back To Front,1992-01-01,['Lionel Richie'],soft rock,1980,99,260493,64,0.152,0.744,0.583,8.54e-05,0.0248,-12.595,0.0427,108.794,0.851,1,1,4
We R Who We R,Cannibal (Expanded Edition),2010-11-19,['Kesha'],"pop, dance pop",2011,30,204760,73,0.00987,0.736,0.817,0.00167,0.117,-4.9,0.0407,119.95,0.653,8,1,4
Take It On the Run,Hi Infidelity (30th Anniversary Edition),,['REO Speedwagon'],"heartland rock, glam metal, hard rock, rock, album rock, soft rock, mellow gold, classic rock",1981,32,239680,69,0.0958,0.371,0.758,0.0,0.116,-5.679,0.036,77.81,0.452,7,1,4
Greenfields,The Brothers Four,1959-12-21,['The Brothers Four'],"american folk revival, vocal harmony group",1960,13,182026,44,0.863,0.466,0.125,0.0,0.121,-20.428,0.0372,111.43,0.338,11,0,1
Open The Door,Trax 9 Future beats,2014-11-14,['FKJ'],"filter house, indie soul",1947,28,312073,50,0.0976,0.689,0.661,0.536,0.223,-6.603,0.047,106.953,0.245,9,0,4
