Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Green-Eyed Lady,Green-Eyed Lady,1970-01-01,['Sugarloaf'],"country rock, psychedelic rock, bubblegum pop, southern rock",1970,30,219760,52,0.178,0.564,0.523,0.0303,0.0624,-12.908,0.122,149.304,0.89,7,1,4
Nobody's Supposed to Be Here,One Wish,1998-09-17,['Deborah Cox'],"urban contemporary, vocal house, canadian pop, contemporary r&b, r&b",1998,99,262333,59,0.202,0.662,0.531,1.16e-05,0.595,-5.3,0.0361,119.957,0.399,8,1,4
I Feel for You,I Feel for You,,['Chaka Khan'],"soul, funk, quiet storm, neo soul, disco",1985,5,343400,62,0.0145,0.698,0.912,0.0225,0.279,-8.993,0.0675,124.917,0.797,11,1,4
Rude Boy,Rated R,2009-11-20,['Rihanna'],"pop, barbadian pop, urban contemporary",2010,15,222920,80,0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.906,0.812,11,1,4
When She Cries,Greatest Hits,1998-05-01,['Restless Heart'],"country road, country, classic country pop",1993,76,222186,57,0.114,0.666,0.521,0.0,0.0604,-10.993,0.0292,105.223,0.361,9,1,4
My House,My House,2015-04-07,['Flo Rida'],"pop, dance pop, pop rap, miami hip hop",2016,14,192190,78,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,0.74,7,0,4
The Most Beautiful Girl In the World,The Gold Experience,1995-09-26,['Prince'],"funk rock, minneapolis sound, synth funk, rock, funk",1994,19,265320,61,0.0182,0.489,0.693,5.63e-06,0.304,-4.952,0.0427,185.758,0.453,6,1,4
Tweedle Dee,The Best Of Georgia Gibbs: The Mercury Years,1996-01-01,['Georgia Gibbs'],deep adult standards,1955,16,150840,33,0.784,0.68,0.447,0.0,0.0906,-10.137,0.133,170.21,0.895,0,1,4
Vaya Con Dios,The Hit Makers,1953-01-01,"['Les Paul', 'Mary Ford']",space age pop,1953,2,174600,36,0.918,0.645,0.165,0.000308,0.0829,-14.859,0.0329,96.822,0.199,4,1,3
Walk It Out,Beat'n Down Yo Block,2006-10-03,['Unk'],"atl hip hop, dirty south rap",2007,30,173040,59,0.0982,0.794,0.777,0.0,0.202,-3.696,0.0813,160.022,0.706,1,0,4
Take It to the Limit - 2013 Remaster,One of These Nights (2013 Remaster),,['Eagles'],"heartland rock, rock, yacht rock, album rock, soft rock, mellow gold, classic rock",1976,25,287090,66,0.0916,0.435,0.423,0.000659,0.132,-8.795,0.024,91.137,0.451,11,1,3
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,2017-06-22,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']","pop, melodic rap, chicago rap, new orleans rap, hip hop, trap, conscious hip hop, canadian pop, rap, atl hip hop, miami hip hop, pop rap",2017,12,288876,66,0.0533,0.599,0.667,0.0,0.134,-4.267,0.0367,80.984,0.817,7,1,4
Twenty Five Miles,25 Miles,1969-01-01,['Edwin Starr'],"soul, motown, classic soul, southern soul, northern soul",1969,69,198213,53,0.0595,0.814,0.836,1.49e-05,0.224,-7.376,0.0607,124.567,0.964,1,1,4
"Me, Myself and I",Dangerously In Love,2003-06-24,['Beyoncé'],"pop, r&b",2004,26,301133,64,0.226,0.75,0.458,3.25e-05,0.137,-9.092,0.0803,83.61,0.536,1,1,4
Jambalaya (On The Bayou),The Ultimate,2002-01-01,['Jo Stafford'],torch song,1952,15,153906,29,0.83,0.728,0.405,0.0,0.0338,-11.936,0.0422,109.597,0.628,8,1,4
Playground In My Mind - Single Version,Radio Hits Of the '70s,,['Clint Holmes'],,1973,12,172746,30,0.431,0.704,0.681,0.0,0.11,-7.4,0.0343,125.209,0.927,5,1,4
Rollout (My Business),Word Of Mouf,2001-01-01,['Ludacris'],"southern hip hop, dance pop, rap, dirty south rap, trap, old school atlanta hip hop, atl hip hop, hip hop, pop rap",2002,77,296586,63,0.0949,0.921,0.668,0.0,0.592,-8.73,0.235,131.059,0.892,7,1,4
Run This Town,The Blueprint 3,2009-09-08,"['JAY-Z', 'Rihanna', 'Kanye West']","pop, chicago rap, east coast hip hop, barbadian pop, gangster rap, urban contemporary, rap, hip hop, pop rap",2009,31,267520,81,0.281,0.632,0.924,0.0,0.263,-1.802,0.29,86.844,0.441,1,1,4
Lay Down (Candles In The Rain) - Long Version,Beautiful People: The Greatest Hits of Melanie,1999-07-01,"['Melanie', 'The Edwin Hawkins Singers']","persian pop, folk",1970,23,459960,38,0.426,0.317,0.866,0.000445,0.0792,-4.896,0.0703,94.372,0.603,7,1,4
With A Little Luck - Remastered 1993,London Town (Expanded Edition),1978-03-31,['Wings'],"heartland rock, rock, folk rock, beatlesque, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1978,18,344773,54,0.0682,0.652,0.372,0.000199,0.0923,-15.445,0.0321,111.986,0.28,6,0,4
Like a Boy,The Evolution,,['Ciara'],"hip pop, dance pop, urban contemporary, pop, r&b",2007,68,237053,67,0.267,0.701,0.724,0.0,0.0867,-5.751,0.145,132.035,0.425,0,0,4
A Tree In The Meadow - Remastered 1990,Love Songs By,1954-01-01,['Margaret Whiting'],torch song,1948,4,154400,22,0.868,0.246,0.222,0.0,0.261,-10.077,0.0281,98.959,0.217,5,1,4
SexyBack (feat. Timbaland),FutureSex/LoveSounds,2006-09-12,"['Justin Timberlake', 'Timbaland']","dance pop, pop rap, pop",2006,9,242733,80,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,0.964,7,0,4
Melody Of Love,Sweet Music And Memories,1957-01-01,['Billy Vaughn'],"space age pop, easy listening",1955,12,182840,17,0.901,0.213,0.257,0.316,0.0784,-15.168,0.0348,82.693,0.229,0,1,3
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],"The Karaoke Channel - Pop Hits of 1966, Vol. 5",2016-09-22,['The Karaoke Channel'],karaoke,1966,76,181572,0,0.00255,0.683,0.394,0.524,0.112,-14.509,0.0266,95.994,0.683,10,1,4
Hocus Pocus,The Best Of Focus / Hocus Pocus (Incl WC 2010 Version of 'Hocus Pocus'),,['Focus'],"symphonic rock, dutch prog, nederpop, progressive rock, flute rock",1973,69,402866,52,0.0218,0.262,0.818,0.916,0.276,-5.538,0.152,183.629,0.395,2,1,4
Friday I'm in Love,Wish,1992-04-21,['The Cure'],"new wave, uk post-punk, rock, permanent wave",1992,71,214400,71,0.000972,0.526,0.762,0.000116,0.338,-12.437,0.0342,136.203,0.505,0,0,4
Best I Ever Had,So Far Gone,,['Drake'],"toronto rap, canadian hip hop, canadian pop, rap, hip hop",2009,22,257690,79,0.19,0.395,0.922,0.0,0.134,-2.176,0.375,162.361,0.558,1,1,4
God's Country,God's Country,2019-03-29,['Blake Shelton'],"country road, classic oklahoma country, contemporary country, country",2019,53,205106,71,0.0608,0.538,0.752,5.39e-06,0.118,-5.106,0.0396,139.984,0.217,10,1,4
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",All-Time Greatest Movie Themes & Schemes,1999-08-24,"['Hugo Montenegro & His Orchestra', 'Hugo Montenegro']","easy listening, ""mans orchestra""",1968,8,165693,35,0.649,0.531,0.648,0.501,0.442,-10.648,0.0412,116.572,0.589,0,1,4
4 Minutes (feat. Justin Timberlake & Timbaland),Celebration (double disc version),2009-09-18,"['Madonna', 'Justin Timberlake', 'Timbaland']","dance pop, pop rap, pop",2008,23,189693,75,0.00994,0.753,0.931,0.00696,0.234,-4.922,0.0652,113.029,0.767,2,1,4
When Will I Be Loved,Heart Like A Wheel,,['Linda Ronstadt'],"heartland rock, country rock, folk rock, folk, soft rock, mellow gold, singer-songwriter",1975,47,124866,63,0.186,0.513,0.573,0.000958,0.0878,-10.023,0.0337,132.607,0.621,9,1,4
Dream About You - Pop Mix,Funky Melody,,['Stevie B'],freestyle,1995,92,252911,32,0.797,0.586,0.216,0.0,0.245,-11.374,0.0301,130.283,0.23,7,1,4
I Do,Firecracker,1997-01-01,['Lisa Loeb'],"lilith, singer-songwriter, new wave pop, pop rock, ectofolk",1998,58,221093,39,0.334,0.732,0.723,9.34e-05,0.194,-6.659,0.0307,110.173,0.731,10,1,4
Same Love (feat. Mary Lambert),The Heist,2012-10-09,"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Mary Lambert']","pop rap, neo mellow, seattle hip hop",2013,43,318525,65,0.716,0.688,0.473,4.46e-05,0.104,-9.059,0.167,84.958,0.299,8,1,4
Read Your Mind,Private Room,2003-01-01,['Avant'],"contemporary r&b, urban contemporary, r&b",2004,64,263506,59,0.291,0.755,0.381,5.13e-06,0.0974,-6.696,0.0711,73.108,0.695,8,0,4
Louie Louie,The Best of The Kingsmen,2006-01-31,['The Kingsmen'],classic garage rock,1964,99,165381,67,0.102,0.623,0.709,0.0,0.0967,-9.818,0.0636,122.394,0.948,1,0,4
Wrecking Ball,Bangerz (Deluxe Version),2013-10-04,['Miley Cyrus'],pop,2013,18,221360,82,0.407,0.53,0.422,0.0,0.107,-6.262,0.0342,119.964,0.349,5,1,4
Shawty (feat. T Pain),The Real Testament,2007-08-06,"['Plies', 'T-Pain']","gangster rap, southern hip hop, dance pop, miami hip hop, urban contemporary, rap, dirty south rap, trap, hip hop, pop rap, r&b",2007,60,255413,64,0.0419,0.444,0.708,0.0,0.0775,-5.926,0.126,105.412,0.26,4,0,5
Spinning Wheel,"Blood, Sweat & Tears (Expanded Edition)",,"['Blood, Sweat & Tears']","heartland rock, blues rock, country rock, folk, folk rock, album rock, soft rock, mellow gold, singer-songwriter, jazz rock, classic rock",1969,27,247266,51,0.315,0.695,0.503,2.47e-05,0.261,-9.313,0.0605,96.818,0.542,7,1,4
Take a Bow,Bedtime Stories,1994-10-25,['Madonna'],"dance pop, pop",1995,8,321360,59,0.417,0.568,0.366,3.39e-06,0.0664,-8.854,0.0258,79.98,0.311,8,1,4
Into The Night,Never Run Never Hide,1980-01-01,['Benny Mardones'],,1980,69,271800,59,0.463,0.435,0.69,0.0,0.104,-6.635,0.0388,163.486,0.51,0,0,4
Take Me Home,Take Me Home,1979-01-01,['Cher'],"pop, dance pop",1979,56,403000,45,0.00562,0.706,0.524,2.13e-05,0.0297,-12.357,0.0681,121.979,0.894,4,1,4
Girlfriend,The Best Damn Thing (Expanded Edition),2007-04-17,['Avril Lavigne'],"candy pop, pop, canadian pop",2007,12,216600,76,0.000722,0.56,0.959,0.000221,0.209,-2.433,0.102,163.983,0.669,7,1,4
There You'll Be - 2007 Remaster,The Hits,,['Faith Hill'],"country dawn, contemporary country, country road, country",2001,66,220840,55,0.496,0.325,0.532,0.0,0.134,-7.208,0.0308,129.021,0.162,8,1,4
What You Know,King,2006-03-26,['T.I.'],"gangster rap, southern hip hop, rap, dirty south rap, trap, atl hip hop, hip hop, pop rap",2006,47,274333,66,0.0155,0.551,0.81,0.0,0.169,-4.365,0.0344,73.464,0.332,11,1,4
Ain't No Stoppin' Us Now (Karaoke in the style of McFadden & Whitehead),1979 Karaoke Classics Volume 2,2009-09-21,['1970s Karaoke Band'],karaoke,1979,65,251546,0,0.038,0.673,0.555,0.172,0.0678,-13.066,0.0309,111.346,0.808,10,0,4
Style,1989,2014-10-27,['Taylor Swift'],pop,2015,29,231000,81,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,0.456,2,1,4
I Wanna Be Bad,Willa Was Here,2001-07-17,['Willa Ford'],,2001,84,183560,52,0.234,0.647,0.818,1.89e-05,0.216,-3.47,0.0647,180.019,0.816,9,0,4
The Second Time Around,Big Fun,1979-01-01,['Shalamar'],"soul, funk, post-disco, new jack swing, motown, urban contemporary, quiet storm, disco",1980,44,223293,52,0.0123,0.801,0.388,7.16e-05,0.0924,-12.135,0.0505,112.367,0.577,1,1,4
Love Child,The Ultimate Collection: Diana Ross & The Supremes,1997-10-07,['Diana Ross & The Supremes'],"classic girl group, motown",1968,27,181573,50,0.125,0.574,0.96,2.27e-05,0.23,-0.81,0.0455,105.008,0.65,9,0,4
Rags to Riches,"The Columbia Singles, Vol. 2",2011-11-23,['Tony Bennett'],"adult standards, lounge, easy listening, vocal jazz",1953,19,168480,55,0.907,0.409,0.435,7.17e-06,0.0559,-9.399,0.0453,78.136,0.567,2,1,4
Back To The Hotel,Back To The Hotel,1992-06-01,['N2DEEP'],"west coast rap, chicano rap",1992,78,304280,57,0.000168,0.69,0.38,0.000533,0.136,-12.845,0.0609,201.697,0.305,9,1,4
Like I Love You,Justified,2002-11-04,['Justin Timberlake'],"dance pop, pop",2002,99,283626,64,0.0439,0.853,0.811,0.000307,0.0703,-4.927,0.0646,114.964,0.9,6,0,4
You're All I Need To Get By,You're All I Need,1968-01-01,"['Marvin Gaye', 'Tammi Terrell']","classic soul, quiet storm, northern soul, motown, neo soul, southern soul, soul",1968,82,173866,64,0.135,0.513,0.448,0.0,0.0678,-11.074,0.0325,97.63,0.172,11,0,4
I Want You Back - Radio Edit,'N Sync UK Version,,['*NSYNC'],"dance pop, boy band, pop",1998,37,200440,65,0.0521,0.751,0.939,0.00056,0.477,-3.305,0.0466,112.041,0.905,8,0,4
Roses Are Red (My Love),16 Most Requested Songs,1991-09-03,['Bobby Vinton'],"doo-wop, rock-and-roll, adult standards, rockabilly, bubblegum pop, easy listening",1962,4,158693,43,0.756,0.499,0.145,0.0,0.35,-14.145,0.0319,101.949,0.48,5,1,4
Here I Am (Just When I Thought I Was Over You),The One That You Love,,['Air Supply'],soft rock,1982,80,230400,64,0.534,0.344,0.466,1.61e-05,0.569,-8.453,0.0255,137.974,0.132,0,1,4
Lips Of An Angel,Extreme Behavior,2005-01-01,['Hinder'],"post-grunge, alternative metal, nu metal",2006,30,261853,74,0.0217,0.476,0.736,1.08e-06,0.203,-5.38,0.0343,129.084,0.251,2,1,4
Kiss an Angel Good Mornin',Sings Heart Songs,1971-11-01,['Charley Pride'],"country, classic country pop, country rock, nashville sound",1972,74,123466,62,0.581,0.665,0.512,0.0,0.371,-10.704,0.03,130.578,0.87,4,1,4
Green Onions,Green Onions,,"[""Booker T. & the M.G.'s""]","instrumental soul, classic soul, instrumental funk, memphis soul, blues, southern soul, soul",1962,53,176333,72,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,136.837,0.912,10,1,4
Ole Buttermilk Sky,The Best Of Kay Kyser and His Orchestra,2000-05-09,['Kay Kyser & His Orchestra'],"""mans orchestra""",1946,15,177506,20,0.975,0.572,0.184,7.29e-05,0.159,-14.434,0.0438,168.596,0.829,0,1,4
Tears in Heaven - Acoustic Live,Unplugged (Deluxe Edition) (Live),1992-08-25,['Eric Clapton'],"soft rock, album rock, electric blues, blues rock, singer-songwriter, classic rock, rock, mellow gold",1992,6,280000,70,0.806,0.694,0.331,0.00235,0.707,-13.0,0.0284,79.055,0.458,9,1,4
I Think We're Alone Now - Single Version,I Think We're Alone Now,1967-01-05,['Tommy James & The Shondells'],"folk rock, rock-and-roll, psychedelic rock, classic garage rock, country rock, classic rock, bubblegum pop, mellow gold",1967,12,130320,59,0.0722,0.783,0.42,0.0316,0.0692,-11.05,0.103,131.75,0.716,11,0,4
"Walk, Don't Run '64","Walk, Don't Run Vol. 2",1964-01-01,['The Ventures'],surf music,1964,90,147013,24,0.0307,0.541,0.637,0.658,0.107,-12.038,0.0354,150.074,0.661,0,1,4
Use Somebody,Only By The Night,2008-09-23,['Kings of Leon'],"rock, modern rock",2010,87,230760,78,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,137.028,0.173,0,1,4
The Gypsy - 78rpm Version,The Essential Dinah Shore,2014-04-18,['Dinah Shore'],"adult standards, torch song, easy listening, vocal jazz",1946,9,177266,10,0.957,0.365,0.143,0.0011,0.126,-14.636,0.0407,80.105,0.231,9,1,4
C U When U Get There,My Soul,1997-08-26,"['Coolio', '40 Thevz']","gangster rap, west coast rap, hip hop, g funk",1997,66,311040,56,0.0102,0.76,0.585,0.000468,0.308,-7.307,0.161,91.179,0.455,3,1,4
Put That Woman First,Still Ghetto,2002-11-05,['Jaheim'],"contemporary r&b, new jack swing, urban contemporary, r&b",2003,82,245773,59,0.492,0.649,0.536,0.0,0.184,-8.804,0.132,78.935,0.513,5,0,4
Hard to Get,Classic Gisele,2022-02-11,['Gisele MacKenzie'],,1955,26,182465,4,0.915,0.292,0.129,0.0,0.254,-13.5,0.038,161.26,0.235,8,1,4
Lost in Your Eyes,Electric Youth,1989-01-10,['Debbie Gibson'],"new wave pop, freestyle, soft rock",1989,13,215146,67,0.335,0.512,0.588,0.000806,0.0963,-8.591,0.0276,144.521,0.242,7,1,4
On My Mind,Delirium (Deluxe),2015-11-06,['Ellie Goulding'],"pop, indietronica, metropopolis, uk pop",2016,81,213445,67,0.258,0.702,0.705,5.93e-06,0.0879,-6.666,0.0543,154.911,0.743,0,1,4
Hawaii Five-O,Hawaii Five-O,,['The Ventures'],surf music,1969,58,113893,51,0.265,0.518,0.782,0.654,0.0769,-9.753,0.0631,163.647,0.861,9,1,4
I Don't Want to Talk About It - 2008 Remaster,Atlantic Crossing,,['Rod Stewart'],"soft rock, mellow gold",1989,50,288266,68,0.872,0.472,0.373,0.206,0.147,-12.98,0.0262,135.193,0.459,3,1,4
(Just Like) Starting Over - Remastered 2010,Double Fantasy: Stripped Down,1980-11-17,['John Lennon'],"beatlesque, rock, classic rock",1981,4,236546,61,0.301,0.701,0.79,6.06e-05,0.179,-6.16,0.0725,99.104,0.421,9,1,4
Headlines,Take Care (Deluxe),2011-11-15,['Drake'],"toronto rap, canadian hip hop, canadian pop, rap, hip hop",2011,85,235986,79,0.365,0.636,0.566,0.000353,0.0917,-7.16,0.106,151.894,0.425,6,0,4
Don't Cry Out Loud,Don't Cry Out Loud,,['Melissa Manchester'],"soft rock, yacht rock",1979,26,230853,45,0.226,0.409,0.521,0.0,0.132,-9.953,0.0335,76.82,0.278,10,1,4
Time,The Turn Of A Friendly Card (Expanded Edition),1980-11-01,['The Alan Parsons Project'],"art rock, progressive rock, album rock, soft rock, mellow gold, symphonic rock, classic rock",1981,48,314640,55,0.272,0.338,0.349,0.0677,0.143,-12.7,0.0264,146.827,0.109,5,0,4
Lisbon Antigua,The Best Of Nelson Riddle,1963-01-01,['Nelson Riddle'],easy listening,1956,3,157240,32,0.694,0.469,0.162,0.00104,0.0614,-16.607,0.03,79.95,0.484,0,1,4
All About That Bass,Title (Deluxe),2015-01-09,['Meghan Trainor'],"pop, hip pop",2015,28,187920,76,0.0573,0.807,0.887,2.87e-06,0.124,-3.726,0.0503,134.052,0.961,9,1,4
Can You Feel The Love Tonight,Love Songs,1995-11-06,['Elton John'],"glam rock, piano rock, rock, mellow gold",1994,18,240000,61,0.813,0.297,0.364,0.000761,0.0976,-9.261,0.0305,122.598,0.149,10,1,4
Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,2000-05-16,['Nine Days'],pop rock,2000,35,189333,69,0.000891,0.481,0.94,0.0,0.0939,-5.204,0.066,96.493,0.66,7,1,4
Feels So Good,Feels So Good,1977-12-08,['Chuck Mangione'],"jazz trumpet, smooth jazz",1978,21,582733,54,0.455,0.576,0.603,0.0537,0.0406,-9.603,0.0329,103.658,0.524,5,1,4
Everytime You Go Away,Love Songs,,['Paul Young'],"new wave pop, synthpop, new wave, soft rock, mellow gold, new romantic",1985,11,321573,30,0.177,0.607,0.643,0.000153,0.118,-11.493,0.0435,164.256,0.715,5,1,4
It's Goin' Down (feat. Nitti),New Joc City,2006-06-06,"['Yung Joc', 'NITTI']","southern hip hop, crunk, dirty south rap, trap, atl hip hop",2006,18,241840,68,0.0986,0.888,0.577,0.0,0.131,-7.702,0.0612,84.003,0.609,1,0,4
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],"2013 Pop Instrumentals, Vol. 13",2012-12-10,['Karaoke All Hits'],karaoke,2013,99,208005,4,0.00432,0.842,0.125,0.103,0.0933,-10.187,0.127,97.493,0.0989,0,1,4
Because They're Young,"$1,000,000 Worth Of Twang",2006-01-01,['Duane Eddy'],"rockabilly, surf music, rock-and-roll",1960,37,121480,19,0.0122,0.701,0.623,0.743,0.0858,-10.508,0.0332,120.567,0.848,9,1,4
Ballad Of The Green Berets,Super Hits 1966,,['Sgt. Barry Sadler'],military cadence,1966,10,142920,2,0.382,0.764,0.27,0.168,0.109,-15.447,0.0461,177.559,0.916,1,1,4
Desire,Throwback Tunes: 1980,2018-04-20,"['Barry Gibb', 'Maurice Gibb', 'Robin Gibb', 'Andy Gibb']","mellow gold, soft rock, italian disco, disco",1980,58,269280,13,0.0923,0.833,0.485,0.000239,0.356,-10.424,0.0459,123.285,0.921,7,1,4
good 4 u,SOUR,2021-05-21,['Olivia Rodrigo'],pop,2022,31,178146,86,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688,9,1,4
It's Not Unusual,Along Came Jones,1965-05-01,['Tom Jones'],"british invasion, adult standards",1965,64,119800,74,0.598,0.476,0.722,0.0,0.184,-10.017,0.0646,92.966,0.909,0,1,4
Shake It Off,1989,2014-10-27,['Taylor Swift'],pop,2014,13,219200,78,0.0561,0.647,0.785,0.0,0.148,-5.414,0.165,160.015,0.943,7,1,4
Patches,Patches,,['Clarence Carter'],"soul, southern soul",1970,35,193826,49,0.617,0.639,0.544,0.0,0.479,-12.843,0.141,80.844,0.793,4,1,4
I Want to Be Your Man - Remastered Version,Unlimited!,,['Roger'],"p funk, funk, post-disco, new jack swing, quiet storm",1988,59,251333,56,0.0468,0.408,0.513,0.0,0.112,-12.146,0.0762,81.925,0.426,8,1,4
Rock On,Rock On,,['David Essex'],glam rock,1974,17,204186,52,0.723,0.676,0.292,0.00189,0.433,-14.448,0.34,74.798,0.649,11,1,4
As It Was,As It Was,2022-03-31,['Harry Styles'],pop,2022,2,167303,92,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,6,0,4
Lil' Red Riding Hood,Super Hits 1966,,['Sam The Sham & The Pharaohs'],"rock-and-roll, surf music, classic garage rock, bubblegum pop, merseybeat",1966,16,168240,2,0.897,0.863,0.22,6.78e-05,0.11,-13.238,0.0416,122.402,0.592,2,1,4
U & Ur Hand (In The Style Of Pink),Karaoke - Hits 2007 Vol.6,2011-03-29,['Ameritz Karaoke Band'],karaoke,2007,29,218920,0,0.000175,0.689,0.488,0.855,0.0503,-10.027,0.057,140.987,0.967,11,0,4
Marry Me,Life Changes,2017-09-08,['Thomas Rhett'],"country road, contemporary country, modern country rock, country",2018,76,205453,71,0.0977,0.333,0.412,0.0,0.113,-8.633,0.029,85.028,0.474,3,1,4
When I'm Gone,When I'm Gone,2005-12-06,['Eminem'],"hip hop, rap, detroit hip hop",2006,90,281120,65,0.0551,0.608,0.745,0.0,0.27,-5.496,0.365,150.068,0.725,10,0,4
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,"['Trey Songz', 'Nicki Minaj']","hip pop, dance pop, southern hip hop, queens hip hop, trap, urban contemporary, rap, pop, r&b",2011,64,242013,74,0.0205,0.844,0.601,0.0,0.385,-5.283,0.157,73.989,0.331,1,1,4
Funny How Time Slips Away,"The ABC's Of Soul, Vol. 1 (Classics From The ABC Records Catalog 1961-1969)",1996-09-07,['Joe Hinton'],motown,1964,70,186106,19,0.126,0.353,0.411,0.0,0.161,-9.013,0.0302,102.531,0.111,10,1,3
Mr. Big Stuff,Mr. Big Stuff,,['Jean Knight'],"new orleans soul, southern soul",1971,18,164560,68,0.29,0.886,0.491,2.46e-06,0.229,-12.589,0.171,93.236,0.971,8,1,4
6 Foot 7 Foot,Tha Carter IV (Complete Edition),2011-08-29,"['Lil Wayne', 'Cory Gunz']","nyc rap, new orleans rap, trap, rap, hip hop, pop rap",2011,41,248586,75,0.0007,0.364,0.752,0.0,0.318,-5.429,0.304,79.119,0.606,2,1,4
